2025-03-11 14:44:32,692 - MainProcess   - MainThread - INFO - Starting run 1/1 for instance ../instances/test1 with seed 10
2025-03-11 14:44:32,693 - MainProcess   - MainThread - INFO - Running experiment for instance ../instances/test1 (Run 0)
2025-03-11 14:44:32,693 - MainProcess   - MainThread - INFO - [../instances/test1] [Run 0] Running CP-SAT to find optimal solution...
2025-03-11 14:44:32,770 - MainProcess   - MainThread - ERROR - Error in CP-SAT solver for ../instances/test1: name 'tracemalloc' is not defined
2025-03-11 14:44:32,770 - MainProcess   - MainThread - INFO - [../instances/test1] [Run 0] CP-SAT completed: makespan=inf, time=0.00s
2025-03-11 14:44:32,771 - MainProcess   - MainThread - INFO - [../instances/test1] [Run 0] Running Hybrid solver with limiter...
2025-03-11 14:44:32,788 - MainProcess   - MainThread - INFO - [../instances/test1] [Run 0] Hybrid limiter completed: makespan=11, time=0.01s
2025-03-11 14:44:32,789 - MainProcess   - MainThread - INFO - [../instances/test1] [Run 0] Running Hybrid solver with collector...
2025-03-11 14:44:32,791 - MainProcess   - MainThread - ERROR - Error in hybrid collector for ../instances/test1: 'NoneType' object is not iterable
2025-03-11 14:44:32,791 - MainProcess   - MainThread - INFO - [../instances/test1] [Run 0] Hybrid collector completed: makespan=inf, time=0.00s
2025-03-11 14:44:32,792 - MainProcess   - MainThread - INFO - [../instances/test1] [Run 0] Running GA solver...
2025-03-11 14:44:32,801 - MainProcess   - MainThread - INFO - [../instances/test1] [Run 0] GA completed: makespan=11, time=0.00s
2025-03-11 14:44:32,802 - MainProcess   - MainThread - INFO - [../instances/test1] [Run 0] Running Hybrid solver...
2025-03-11 14:44:32,805 - MainProcess   - MainThread - ERROR - Error running experiment for ../instances/test1 (Run 0): unsupported operand type(s) for -: 'NoneType' and 'float'
2025-03-11 14:44:32,809 - MainProcess   - MainThread - INFO - All experiments completed. Results saved to csv/results_20250311-144432.csv
